Year,AnnualMaxLoss
1346,2419499.622076
1347,8486364.839700
1348,12929092.116919
1349,8978090.683295
1350,115753793.299919
1351,584120.160450
1352,374297.872379
1353,25279597.813538
1354,21646500.082548
1355,235809.967157
1356,487871632.808212
1357,4183187.899951
1358,6302799.001125
1359,1374980.103024
1360,72834381.497646
1361,1605324.331707
1362,12276344.853912
1363,2244549.712627
1364,333741810.613905
1365,6398430.049020
1366,4136911.557603
1367,45520132.519300
1368,92390427.554700
1369,57448811.455433
1370,15780724.391032
1371,147813450.124260
1372,54232.064432
1373,9888235.305731
1374,508535.593260
1375,16972.572458
1376,179883553.589377
1377,1800863.496636
1378,245630.839424
1379,2025544.491091
1380,8227403.557867
1381,8099177.752727
1382,363179277.451521
1383,3831421.405381
1384,1955.272517
1385,36517.404104
1386,331789424.275118
1387,1225519.806648
1388,21998615.991093
1389,150284.543290
1390,304095756.573405
1391,74918.683586
1392,375326.191984
1393,116894947.894475
1394,239613963.319727
1395,387246.029274
1396,78497596.549249
1397,3824338.903077
1398,118228.199134
1399,3119428.225724
1400,10492901.782950
1401,7277589.732807
1402,228303899.461884
1403,23341.254432
1404,20502772.087228
1405,56980256.566812
1406,24945657.353964
1407,28796.027340
1408,152288044.003943
1409,259768.640678
1410,1206925.492335
1411,407920.141028
1412,15440.345068
1413,355653.725430
1414,61025.268539
1415,105547295.106043
1416,578384.444535
1417,3575910.528317
1418,3624896.397130
1419,161272.223142
1420,19812.283010
1421,1234300.508254
1422,5427414.362829
1423,6666797.015303
1424,11404993.733550
1425,13790271.863258
1426,10962834.628884
1427,160807400.219958
1428,187687342.855729
1429,670282.702313
1430,7218711.124060
1431,85239.309206
1432,2341930.513150
1433,368785288.619343
1434,77140511.008884
1435,49085813.918100
1436,15604.788485
1437,43805133.307516
1438,4306916.144176
1439,74334.541525
1440,14146.079408
1441,37616248.602087
1442,283761173.150618
1443,80195087.641684
1444,227607735.176777
1445,54054031.862971
1446,3097435.928398
1447,126165.488321
1448,3769499.055150
1449,2139548.023247
1450,50855363.304156
1451,552339.288207
1452,2258220.022992
1453,270954.370915
1454,51695.372345
1455,15327939.335707
1456,159206519.757636
1457,41138500.205964
1458,7689768.087644
1459,56996.372606
1460,12128888.316893
1461,726716.115739
1462,3693776.781835
1463,60546525.103908
1464,18939119.983310
1465,1782246.615395
1466,1555248.543731
1467,7873703.337354
1468,40185418.459975
1469,1084663.158892
1470,69077720.486399
1471,73388.300876
1472,57752011.914331
1473,130965291.672189
1474,4837069.273253
1475,4206804.672995
1476,4513501.676815
1477,7759342.815257
1478,1389.571208
1479,5287678.096528
1480,5642563.822963
1481,8697688.865132
1482,216560301.219109
1483,2652514.140959
1484,40420779.786811
1485,1980359.547680
1486,275777976.281414
1487,10259.988392
1488,6048126.046542
1489,167276.663160
1490,5748178.175937
1491,237815592.265854
1492,443718.293159
1493,1844078.710171
1494,658939.411535
1495,8281542.558502
1496,1976015.407128
1497,299989.024188
1498,2068749.559813
1499,15354901.791834
1500,1671394.491125
1501,1566205.749809
1502,33874.220808
1503,12837272.258312
1504,8479715.475587
1505,492625.945298
1506,4581950.716836
1507,966839.231899
1508,6498913.858762
1509,45054631.660705
1510,901842.372485
1511,100923155.441041
1512,52383741.195767
1513,2127758.451914
1514,886741.251158
1515,173107.173152
1516,27820711.531081
1517,126025912.350512
1518,40396.782768
1519,79543098.823742
1520,52820220.078119
1521,23909223.137960
1522,3957536.562884
1523,208466.401777
1524,793753.363021
1525,1204094.518491
1526,65045372.745888
1527,14212697.456658
1528,5622480.461050
1529,85317955.858406
1530,27630095.660965
1531,20882318.761226
1532,105163854.595905
1533,3475367.217479
